Designator,Footprint,Quantity,Value,LCSC Part #
J1,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
SW1,SW_Cherry_MX_PCB_1.00u,1,P1,
SW10,SW_Cherry_MX_PCB_1.00u,1,BAIXO,
SW11,SW_Cherry_MX_PCB_1.00u,1,ESQUERDA,
SW12,SW_Cherry_MX_PCB_1.00u,1,DIREITA,
SW13,SW_Cherry_MX_PCB_1.00u,1,CIMA,
SW14,SW_Cherry_MX_PCB_1.00u,1,IMPRIMIR,
SW15,SW_Cherry_MX_PCB_1.00u,1,NARRADOR,
SW16,SW_Cherry_MX_PCB_1.00u,1,VOLUME +,
SW17,SW_Cherry_MX_PCB_1.00u,1,VOLUME -,
SW2,SW_Cherry_MX_PCB_1.00u,1,P2,
SW3,SW_Cherry_MX_PCB_1.00u,1,P3,
SW4,SW_Cherry_MX_PCB_1.00u,1,P4,
SW5,SW_Cherry_MX_PCB_1.00u,1,P5,
SW6,SW_Cherry_MX_PCB_1.00u,1,P6,
SW7,SW_Cherry_MX_PCB_2.00u,1,ESPACO,
SW8,SW_Cherry_MX_PCB_1.75u,1,ENTER,
SW9,SW_Cherry_MX_PCB_1.75u,1,RETRO,
U1,MODULE_ESP32_DEVKIT_V1,1,ESP32-DEVKIT-V1,
